ITEM_ID,PARENT_ID,USER_ID,FORUM_ID,C_FUNC,N_LVL,TITLE,NARRATOR,ITEM,D_CREATED,D_CHANGED,WHO
1,0,SIQO,SYSFORUM,A,0,SYSFORUM Root item,Palo4,SYSFORUM je defaultné fórum sytému PagMan Item,2024-02-28,2024-02-28,SIQO
5,0,SIQO,SYSFORUM,A,0,Systémové fórum,Systémák,Eta sistemma ...,2014-05-25 20:54:56,2014-12-16 16:39:45,palo4
6,0,SIQO,FYZ,A,0,Principia Informatica,Palo,.,2014-06-04 20:58:56,2015-02-01 19:06:01,palo4
12,7,Anonymous,SYSFORUM,A,1,Test edit,Anonymous,Položka 12,2014-12-16 21:27:51,2014-12-22 16:26:53,palo4
47,0,palo4,NOTES,A,0,Odkazy adminovi,palo4,Fórum odkazov adminovi,2014-12-23 20:42:15,2014-12-23 22:19:10,palo4
48,47,palo4,NOTES,A,1,2 Ako sa prihlásim do aplikácie ?,palo4,New item from ID 47,2014-12-23 22:19:41,2014-12-25 16:20:09,Anonymous
49,47,palo4,NOTES,A,1,1 abcd sefcsd sav svqaerg Môžem sa stať členom tímu ?,palo4,New item from ID 47,2014-12-23 22:21:14,2014-12-25 16:31:33,Anonymous
50,0,palo4,FAQ,A,0,Frequently Asked Questions,palo4,"Dobrý deň a vitajte na stránkach SIQO.  Na tomto mieste by ste sa mali dozvedieť základné informácie o projekte SIQO. Prosím, prečítajte si ich predtým, ako sa rozhodnete kontaktovať administrátora SIQO stránok.  Ešte raz Vám želám pekný deň, Pavol Horanský",2014-12-25 16:41:51,2016-05-15 08:58:17,palo4
51,50,palo4,FAQ,A,1,1 Pre koho je projekt SIQO určený,palo4,Stránky projektu SIQO sú určené pre úzku skupinu ľudí okolo niektorej z aplikácií. Základné informácie o každej aplikácii sú dostupné aj pre anonymného používateľa v príslušných záložkách úvodnej stránky (Homepage) {SPLIT} Momentálne sú aktívne aplikácie  'Oral History' 'Principia Informatica' 'Grafórum' 'Nebeská mechanika' 'Is This Just Fantasy?',2014-12-25 16:43:29,2017-08-20 17:45:19,michal
52,50,palo4,FAQ,A,1,2 Môžem sa stať členom SIQO projektu ?,palo4,"Ale áno, samozrejme. Stačí sa dohodnúť s adminom, ktorým je v súčasnosti duhovyoblak@gmail.com",2014-12-25 16:44:22,2015-01-03 19:18:06,palo4
53,50,palo4,FAQ,A,1,3 Ako sa prihlásim do SIQO prostredia ?,palo4,"Do stránok SIQO projektu sa prihlasujte pomocou login-u a password-u. Keď ich budete mať pridelené, prihlásite sa cez položku menu 'Guest user' vpravo hore na lište menu.",2014-12-25 16:45:03,2015-01-03 19:20:01,palo4
54,50,palo4,FAQ,A,1,4 Sú informácie v SIQO projekte verejné ?,palo4,"Nie, vo väčšine prípadov informácie uložené na stránkach projektu SIQO nie sú určené na verejné publikovanie a sú dostupné len pre identifikovaných používateľov, prihlásených pomocou mena a hesla. Verejné prehliadanie je nastavené len na fórach F.A.Q. a na objektoch niektorých aplikácií.",2014-12-25 16:47:03,2016-05-15 10:35:37,SIQO
55,50,palo4,FAQ,A,1,5 Aké práva budem mať v SIQO projekte ?,palo4,"Práva na stránkach projektu SIQO sú odstupňované v rozsahu Reader-User-Writer-Admin. Reader má právo čítať informácie určné pre všetkých používateľov SIQO stránok. User má právo používať konkrétnu aplikáciu/stránku/objekt. Writer má právo vkladať informácie na stránky SIQO. Admin môže všetko. Teda, skoro všetko...",2014-12-25 16:48:19,2015-01-03 19:25:18,palo4
